Timestamp,Elastic-VM,Logging-VM,SvcProxy-VM1,SvcProxy-VM0
03/02/2025 06:22,8.665,6.74,0.515,0.515
03/02/2025 06:23,10.22,6.14,0.785,0.485
03/02/2025 06:24,7.64,6.28,0.505,0.5
03/02/2025 06:25,8.24,6.095,0.48,7.42
03/02/2025 06:26,7.875,5.985,7.99,0.665
03/02/2025 06:27,7.0,6.805,0.55,0.58
03/02/2025 06:28,10.535,6.545,0.86,0.485
03/02/2025 06:29,8.485,6.175,0.495,0.505
03/02/2025 06:30,7.755,6.265,0.495,0.43
03/02/2025 06:31,7.445,8.055,0.815,0.525
03/02/2025 06:32,9.965,10.23,0.485,0.495
03/02/2025 06:33,11.015,11.715,0.62,0.535
03/02/2025 06:34,12.25,13.875,0.545,0.51
03/02/2025 06:35,13.86,12.71,0.475,0.455
03/02/2025 06:36,13.03,10.87,0.69,0.515
03/02/2025 06:37,12.625,7.62,0.49,0.935
03/02/2025 06:38,8.995,6.515,2.765,0.67
03/02/2025 06:39,6.885,6.72,0.63,2.73
03/02/2025 06:40,9.395,7.145,0.515,6.57
03/02/2025 06:41,8.34,6.115,5.47,0.665
03/02/2025 06:42,10.085,6.79,0.63,0.455
03/02/2025 06:43,8.285,6.35,0.73,0.53
03/02/2025 06:44,11.02,6.745,0.52,0.505
03/02/2025 06:45,12.6,7.225,0.51,0.44
03/02/2025 06:46,12.005,6.45,0.665,0.58
03/02/2025 06:47,9.65,7.57,0.515,7.645
03/02/2025 06:48,10.16,6.77,0.65,14.75
03/02/2025 06:49,8.74,7.205,0.505,0.525
03/02/2025 06:50,10.48,7.155,0.495,0.485
03/02/2025 06:51,12.32,6.63,0.705,0.535
03/02/2025 06:52,10.47,6.405,0.51,0.455
03/02/2025 06:53,9.98,6.96,0.93,0.44
03/02/2025 06:54,9.445,7.63,0.515,0.51
03/02/2025 06:55,7.61,6.895,0.515,7.505
03/02/2025 06:56,11.845,6.56,9.475,0.575
03/02/2025 06:57,8.365,6.83,0.69,0.49
03/02/2025 06:58,8.585,7.11,0.7,0.54
03/02/2025 06:59,8.115,6.635,0.51,1.355
03/02/2025 07:00,10.395,6.64,0.51,3.02
03/02/2025 07:01,8.265,7.44,0.785,0.645
03/02/2025 07:02,8.97,9.315,0.63,0.485
03/02/2025 07:03,11.42,10.77,0.735,0.535
03/02/2025 07:04,10.055,9.625,0.51,0.515
03/02/2025 07:05,10.39,9.61,0.535,0.445
03/02/2025 07:06,,7.075,0.785,1.015
03/02/2025 07:07,8.59,7.48,0.635,0.49
03/02/2025 07:08,9.645,7.15,0.7,0.52
03/02/2025 07:09,9.935,6.67,0.51,0.5
03/02/2025 07:10,7.975,6.835,1.38,5.115
03/02/2025 07:11,11.26,7.665,5.905,0.68
03/02/2025 07:12,8.26,8.015,0.745,0.56
03/02/2025 07:13,8.43,7.215,2.225,0.62
03/02/2025 07:14,8.04,6.735,3.36,0.585
03/02/2025 07:15,10.97,7.18,2.56,0.635
03/02/2025 07:16,7.9,7.73,3.255,0.58
03/02/2025 07:17,8.235,7.71,0.905,0.525
03/02/2025 07:18,7.985,7.27,1.1,0.605
03/02/2025 07:19,8.205,6.96,0.77,0.605
03/02/2025 07:20,8.005,7.145,0.985,0.555
03/02/2025 07:21,9.525,7.81,1.19,0.575
03/02/2025 07:22,11.265,7.52,0.965,0.705
03/02/2025 07:23,8.095,6.82,1.135,0.51
03/02/2025 07:24,7.71,7.26,1.015,0.835
03/02/2025 07:25,8.415,7.965,0.865,7.755
03/02/2025 07:26,9.405,7.39,8.425,0.595
03/02/2025 07:27,9.275,7.76,0.99,0.655
03/02/2025 07:28,8.055,6.98,1.38,0.57
03/02/2025 07:29,8.22,7.09,0.53,0.615
03/02/2025 07:30,7.775,7.58,1.825,0.535
03/02/2025 07:31,8.03,8.225,1.425,0.68
03/02/2025 07:32,12.525,12.065,1.105,0.555
03/02/2025 07:33,13.78,10.57,0.9,0.625
03/02/2025 07:34,11.5,11.03,0.895,0.645
03/02/2025 07:35,16.09,13.045,1.255,0.72
03/02/2025 07:36,13.735,10.82,1.175,0.565
03/02/2025 07:37,11.795,8.28,2.0,0.555
03/02/2025 07:38,12.335,10.87,3.91,0.59
03/02/2025 07:39,13.595,15.945,1.27,3.55
03/02/2025 07:40,15.13,12.83,0.745,5.25
03/02/2025 07:41,18.065,14.61,5.975,0.685
03/02/2025 07:42,14.87,10.32,1.24,0.565
03/02/2025 07:43,12.89,9.26,1.245,0.525
03/02/2025 07:44,10.895,8.61,0.955,0.665
03/02/2025 07:45,11.085,7.925,1.385,0.53
03/02/2025 07:46,11.665,7.61,0.89,0.68
03/02/2025 07:47,9.385,7.72,0.865,0.565
03/02/2025 07:48,10.915,8.555,1.245,0.475
03/02/2025 07:49,8.34,7.88,0.735,0.56
03/02/2025 07:50,8.69,7.445,1.495,0.515
03/02/2025 07:51,9.455,7.9,1.28,0.61
03/02/2025 07:52,10.15,9.195,0.81,0.585
03/02/2025 07:53,10.83,7.48,0.91,0.62
03/02/2025 07:54,10.435,8.615,1.075,0.595
03/02/2025 07:55,10.525,7.86,1.46,9.385
03/02/2025 07:56,13.72,7.86,8.605,0.69
03/02/2025 07:57,10.705,9.08,1.365,0.58
03/02/2025 07:58,12.655,7.595,1.25,0.625
03/02/2025 07:59,11.605,8.32,1.245,0.68
03/02/2025 08:00,11.05,8.755,1.375,0.58
03/02/2025 08:01,14.695,9.23,1.165,3.02
03/02/2025 08:02,17.44,11.995,0.6,1.91
03/02/2025 08:03,17.2,11.9,0.855,0.595
03/02/2025 08:04,15.065,10.245,0.73,0.755
03/02/2025 08:05,15.43,10.38,1.285,0.58
03/02/2025 08:06,14.705,9.51,1.55,0.535
03/02/2025 08:07,11.62,8.405,1.735,0.6
03/02/2025 08:08,12.935,8.13,1.085,0.58
03/02/2025 08:09,11.83,8.51,1.25,0.65
03/02/2025 08:10,10.735,8.635,1.075,5.44
03/02/2025 08:11,12.49,8.27,7.255,0.655
03/02/2025 08:12,11.78,8.42,0.89,0.735
03/02/2025 08:13,10.42,7.875,3.045,0.945
03/02/2025 08:14,11.98,8.22,2.58,0.83
03/02/2025 08:15,10.23,8.875,1.585,0.6
03/02/2025 08:16,9.06,7.97,3.705,0.85
03/02/2025 08:17,11.38,8.43,1.66,0.645
03/02/2025 08:18,11.46,8.845,1.375,0.655
03/02/2025 08:19,10.845,9.855,1.0,1.21
03/02/2025 08:20,11.585,9.515,0.835,0.72
03/02/2025 08:21,11.53,9.975,0.97,0.6
03/02/2025 08:22,12.985,9.63,1.535,0.985
03/02/2025 08:23,13.475,9.91,1.01,0.62
03/02/2025 08:24,14.76,9.885,1.905,0.585
03/02/2025 08:25,13.51,9.365,1.015,7.625
03/02/2025 08:26,13.095,11.06,8.325,0.805
03/02/2025 08:27,11.845,9.145,1.75,0.7
03/02/2025 08:28,15.755,9.865,1.08,0.705
03/02/2025 08:29,12.01,10.35,1.415,0.58
03/02/2025 08:30,10.72,8.75,1.28,0.51
03/02/2025 08:31,11.605,11.4,4.29,0.615
03/02/2025 08:32,15.1,13.425,0.92,0.74
03/02/2025 08:33,19.93,14.33,1.06,0.65
03/02/2025 08:34,14.585,13.925,1.365,0.675
